character_id,uyum,ahlak,varolus,karar,BAP104,BAP13,BAP134,BAP15,BAP187,BAP188,BAP35,BAP390,BAP476,BAP485,BAP79,BAP84
0,79.2,36.53333333333334,61.4,33.76666666666666,64.6,23.599999999999994,74.1,91.4,61.7,66.9,13.1,38.7,55.6,72.1,29.7,41.2
1,22.599999999999998,37.1,53.166666666666664,50.63333333333333,49.1,69.9,21.2,32.1,63.9,62.1,32.9,47.2,33.5,14.5,23.0,41.1
2,64.86666666666666,16.433333333333334,46.93333333333334,69.26666666666667,75.5,69.4,78.5,73.5,47.1,39.2,62.9,21.200000000000003,54.5,42.6,12.7,15.4
3,37.766666666666666,31.266666666666666,49.666666666666664,53.56666666666666,49.0,48.6,27.6,50.4,51.2,38.1,63.1,39.4,59.7,35.3,26.7,27.7
4,59.43333333333334,73.89999999999999,72.0,30.833333333333332,41.5,32.8,43.1,79.5,71.2,58.3,18.2,72.8,86.5,55.7,69.9,79.0
5,45.1,66.23333333333333,61.66666666666668,42.5,40.2,38.1,34.0,49.7,48.9,56.7,49.2,53.0,79.4,51.6,73.1,72.6
6,84.69999999999999,34.766666666666666,58.199999999999996,49.9,79.8,35.0,94.8,81.6,51.5,54.1,34.9,27.700000000000003,69.0,77.7,35.5,41.1
7,49.76666666666667,54.6,69.43333333333334,62.56666666666666,37.2,69.6,60.0,17.1,46.5,69.1,80.9,24.0,92.7,72.2,67.9,71.9
8,54.86666666666667,55.53333333333333,55.9,54.73333333333333,68.4,44.0,69.7,31.5,33.8,59.9,51.8,42.8,74.0,63.4,60.3,63.5
9,69.8,24.633333333333336,57.366666666666674,65.3,70.9,56.1,77.5,47.4,50.7,48.7,68.9,15.400000000000006,72.7,84.5,35.0,23.5
10,60.199999999999996,77.86666666666667,69.7,27.433333333333334,30.8,34.599999999999994,60.7,67.0,77.0,63.4,16.9,68.8,68.7,52.9,76.2,88.6
11,74.46666666666667,60.36666666666667,60.366666666666674,32.36666666666667,55.8,15.099999999999994,75.3,73.2,55.8,61.1,26.2,48.9,64.2,74.9,64.5,67.7
12,47.23333333333333,71.3,62.63333333333333,27.666666666666668,28.0,34.5,54.8,47.2,63.6,69.4,20.5,64.1,54.9,39.7,66.8,83.0
13,71.39999999999999,17.900000000000002,38.800000000000004,49.06666666666666,80.1,42.4,74.9,80.8,54.6,48.3,24.7,29.700000000000003,13.5,58.5,8.0,16.0
14,48.76666666666667,72.73333333333333,63.56666666666666,41.6,41.3,47.2,39.5,54.4,51.7,64.7,36.3,56.3,74.3,52.4,80.9,81.0
15,72.16666666666667,63.73333333333333,61.96666666666667,45.26666666666667,59.0,21.599999999999994,77.6,54.7,35.099999999999994,68.2,55.2,42.7,82.6,84.2,74.8,73.7
16,61.833333333333336,51.13333333333333,47.333333333333336,75.33333333333333,81.8,80.4,72.6,39.1,17.299999999999997,44.7,63.8,40.1,80.0,73.8,52.7,60.6
17,82.39999999999999,60.6,60.9,47.1,76.9,28.099999999999994,87.8,81.2,48.2,55.0,36.3,53.5,79.5,78.2,63.5,64.8
18,56.63333333333333,65.3,60.800000000000004,50.13333333333333,54.2,42.6,57.6,49.2,61.8,55.7,53.6,51.9,64.9,63.1,61.2,82.8
19,45.1,72.33333333333333,55.96666666666666,44.866666666666674,33.8,32.900000000000006,62.1,20.2,28.0,62.3,67.9,57.3,77.6,53.0,77.2,82.5
20,47.366666666666674,78.06666666666666,52.833333333333336,46.86666666666667,44.9,47.6,62.1,33.8,36.2,49.8,48.1,76.2,72.5,46.2,72.5,85.5
21,85.96666666666665,46.13333333333333,60.43333333333334,35.93333333333333,52.9,11.700000000000003,89.5,88.6,75.7,50.5,43.2,34.900000000000006,55.1,79.8,37.7,65.8
22,86.89999999999999,16.46666666666667,45.666666666666664,40.16666666666667,79.2,17.200000000000003,91.6,89.4,64.4,31.4,24.1,17.200000000000003,41.2,79.7,13.2,19.0
23,62.46666666666667,42.300000000000004,63.46666666666666,66.16666666666667,86.9,61.8,48.6,57.8,47.3,64.0,49.8,51.6,79.1,81.0,38.2,37.1
24,54.9,66.23333333333333,71.83333333333333,48.9,66.8,40.9,49.9,52.4,69.8,66.9,39.0,74.1,78.8,62.4,55.8,68.8
25,50.06666666666666,57.9,55.4,64.66666666666667,39.3,67.7,58.3,23.0,29.099999999999994,48.6,87.0,44.8,88.5,68.9,65.9,63.0
26,73.66666666666667,34.699999999999996,51.96666666666666,26.766666666666666,44.7,9.599999999999994,79.2,85.6,71.7,47.9,26.0,34.5,36.3,56.2,20.4,49.2
27,82.8,43.366666666666674,42.699999999999996,50.6,72.0,52.3,84.7,77.7,39.0,35.0,27.5,44.2,54.1,86.0,33.9,52.0
28,43.1,71.53333333333333,67.66666666666667,61.26666666666667,52.2,60.9,36.6,22.7,40.4,73.6,70.7,58.5,89.0,70.0,74.0,82.1
29,35.6,69.1,53.26666666666666,64.36666666666667,43.7,66.0,28.7,25.2,22.099999999999994,63.9,83.4,60.1,73.8,52.9,70.4,76.8
30,74.16666666666667,47.800000000000004,59.699999999999996,35.199999999999996,49.5,32.0,81.6,83.5,70.6,52.1,24.1,54.4,56.4,57.4,29.4,59.6
31,40.233333333333334,69.96666666666665,59.1,50.93333333333334,51.6,42.7,40.4,30.0,34.3,60.8,58.5,64.3,82.2,50.3,63.3,82.3
32,90.36666666666667,42.699999999999996,51.20000000000001,40.833333333333336,69.7,19.5,91.9,88.9,32.400000000000006,47.3,33.3,39.0,73.9,90.3,34.6,54.5
33,18.53333333333333,79.43333333333334,65.43333333333332,54.46666666666667,39.4,46.6,9.8,24.2,39.6,72.8,77.4,69.8,83.9,21.599999999999994,79.6,88.9
34,34.5,42.56666666666667,66.36666666666666,27.96666666666667,33.9,22.400000000000006,41.4,29.4,74.6,68.7,27.6,38.3,55.8,32.7,29.6,59.8
35,33.9,83.66666666666667,49.93333333333334,56.9,22.3,63.3,33.6,21.1,22.400000000000006,50.7,85.1,76.0,76.7,47.0,86.9,88.1
36,81.8,72.8,59.633333333333326,28.400000000000002,46.2,22.299999999999997,76.2,94.2,82.3,55.2,16.7,78.4,41.4,75.0,49.9,90.1
